productTitle,originalPrice,price,sold,tagText,discount_percent,tag_encoded,adjustable,bed,bedroom,bedside,black,cabinet,chair,chairs,closet,coffee,computer,desk,dining,drawer,drawers,dresser,fabric,frame,furniture,home,led,living,makeup,metal,mirror,modern,office,organizer,outdoor,patio,rack,rattan,room,sectional,set,shelf,shoe,simple,small,sofa,stand,stool,storage,table,tv,vanity,wardrobe,white,wicker,wood
Dresser For Bedroom With 9 Fabric Drawers Wardrobe Steel Frame Assembly Closet For Clothes Storage Display Cabinet Of Furniture,46.79,46.79,600,Free shipping,0.0,93,0.0,0.0,0.2456087616953626,0.0,0.0,0.31815847727432117,0.0,0.0,0.36743463645759633,0.0,0.0,0.0,0.0,0.0,0.2818370132380347,0.33663568225264806,0.36649189430997026,0.35167716668092047,0.22623407382945504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22506515602559135,0.0,0.0,0.0,0.38840481983835157,0.0,0.0,0.0
Desser For Bedroom With 7 Fabric Drawers Organizer Storage Closet Chest Clothes For Living Room Display Cabinet Of Furniture,78.4,39.46,7,Free shipping,49.66836734693878,93,0.0,0.0,0.26662030636507217,0.0,0.0,0.3453765659579318,0.0,0.0,0.3988682434015665,0.0,0.0,0.0,0.0,0.0,0.30594784280434123,0.0,0.3978448507567427,0.0,0.24558813642586166,0.0,0.0,0.27938510628967606,0.0,0.0,0.0,0.0,0.0,0.3631815509628103,0.0,0.0,0.0,0.0,0.26207988554068834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.244319219059761,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Small Unit Simple Computer Desk Household Wooden Minimalist Tea Table Wooden Minimalist Small Makeup Table Home Furniture,48.82,21.37,1,Free shipping,56.22695616550594,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33413261943604583,0.2587959147997369,0.0,0.0,0.0,0.0,0.0,0.0,0.1991942919108931,0.2681525175046182,0.0,0.0,0.30277693573324266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3277886392461401,0.6068807367808422,0.0,0.0,0.0,0.0,0.3773227200041377,0.0,0.0,0.0,0.0,0.0,0.0
"3 Pieces Patio Furniture Set, Outdoor Swivel Glider Rocker, Wicker Bistro Set with Rattan Rocking Chair, Glass Top Table",1294.04,123.4,53,Free shipping,90.46397329294302,93,0.0,0.0,0.0,0.0,0.0,0.0,0.28251749830185635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23422126868700346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3168991171271186,0.33369931695911553,0.0,0.3854280672849889,0.0,0.0,0.5597029201502712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22183619152935963,0.0,0.0,0.0,0.0,0.37750566369916916,0.0
"5-Piece Patio Furniture Set Outdoor Couch with Glass Coffee Table and Two Pillows, Outdoor Sectional Conversation Set",198.31,198.31,1,Free shipping,0.0,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3433153942703412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21138355655022273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5719998258183198,0.3011620115996407,0.0,0.0,0.0,0.35260633074079234,0.5051291649820808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20020608461350384,0.0,0.0,0.0,0.0,0.0,0.0
"Living Room Furniture, Modern 3-Piece Including Three-Seater, Loveseat and Single Chair,Dutch Velvet Upholstered Sofa Set",1474.17,734.58,5,Free shipping,50.16992612792283,93,0.0,0.0,0.0,0.0,0.0,0.0,0.3937286402159159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3264209197097177,0.0,0.0,0.371341811031674,0.0,0.0,0.0,0.39535036316026734,0.0,0.0,0.0,0.0,0.0,0.0,0.3483407566856734,0.0,0.3900131337001076,0.0,0.0,0.0,0.0,0.4132541149842595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TV Stand Dresser For Bedroom With 5 Fabric Drawers Organizer Storage Closet Chest Clothes Storage Display Cabinet Of Furniture,43.96,43.96,3,None,0.0,94,0.0,0.0,0.21666480848366557,0.0,0.0,0.28066484709367356,0.0,0.0,0.32413401944143067,0.0,0.0,0.0,0.0,0.0,0.24862371389082272,0.2969645916561584,0.3233023754664563,0.0,0.19957334559398102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2951337887835624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3131411093450733,0.0,0.3970843596134769,0.0,0.3633562707012393,0.0,0.0,0.0,0.0,0.0
"4 Pieces Patio Furniture Set, Outdoor Rattan Woven Conversation Sectional L-Shaped Sofa with 5 Seater for Backyard",244.17,244.17,1,Free shipping,0.0,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2733708757399464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36986815781458215,0.38947647676198077,0.0,0.4498515821347308,0.0,0.4560066213246709,0.3266280604946936,0.0,0.0,0.0,0.0,0.3460919092343955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Patio Dining Set Outdoor Furniture with 6 Stackable Textilene Chairs and Large Table for Yard, Garden Porch and Poolside, Grey",60.28,60.28,4,Free shipping,0.0,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4295326663379869,0.0,0.0,0.0,0.0,0.47618204224802285,0.0,0.0,0.0,0.0,0.0,0.2862542621878321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3872992553994832,0.4078316726068334,0.0,0.0,0.0,0.0,0.3420213444964599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27111780108088473,0.0,0.0,0.0,0.0,0.0,0.0
7-piece patio furniture set modular wicker outdoor sectional sofa PE rattan outdoor set with pillowtop cushions and coffee table,671.47,331.24,39,Free shipping,50.66942678004974,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30010617290187874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18477910175132375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000086844101849,0.2632581592115554,0.0,0.30406739943775585,0.0,0.3082277643986643,0.4415542764870126,0.0,0.0,0.0,0.0,0.23393330375313084,0.0,0.0,0.0,0.17500841164645348,0.0,0.0,0.0,0.0,0.2978173495319316,0.0
